1. pen, notebook, scale, papaya → Answer: papaya
2. apple, grape, guava, giraffe → Answer: giraffe
3. green, train, blue, purple → Answer: train
4. mango, grape, triangle, papaya → Answer: triangle
5. banana, zebra, mango, orange → Answer: zebra
6. pencil, notebook, airplane, chalk → Answer: airplane
7. banana, bear, horse, tiger → Answer: banana
8. eraser, bag, apple, book → Answer: apple
9. monkey, guava, grape, orange → Answer: monkey
10. train, pink, truck, airplane → Answer: pink
11. elephant, horse, deer, grape → Answer: grape
12. guava, pear, notebook, apple → Answer: notebook
13. grape, black, guava, papaya → Answer: black
14. bag, black, yellow, green → Answer: bag
15. papaya, giraffe, pear, orange → Answer: giraffe
16. black, hexagon, pink, white → Answer: hexagon
17. orange, zebra, dog, goat → Answer: orange
18. red, circle, square, hexagon → Answer: red
19. chalk, eraser, book, square → Answer: square
20. green, white, car, black → Answer: car
21. bear, circle, hexagon, rectangle → Answer: bear
22. hexagon, oval, rectangle, cow → Answer: cow
23. red, yellow, white, mango → Answer: mango
24. grape, bag, apple, mango → Answer: bag
25. chalk, mango, guava, pear → Answer: chalk
26. airplane, papaya, ship, train → Answer: papaya
27. ship, yellow, bus, bike → Answer: yellow
28. pen, black, bag, sharpener → Answer: black
29. dog, mango, papaya, pear → Answer: dog
30. chalk, bag, bus, notebook → Answer: bus
31. white, pink, blue, tiger → Answer: tiger
32. chalk, scale, red, pen → Answer: red
33. bus, airplane, train, lion → Answer: lion
34. scale, bag, van, book → Answer: van
35. hexagon, triangle, square, car → Answer: car
36. airplane, bus, car, papaya → Answer: papaya
37. bag, mango, pear, orange → Answer: bag
38. orange, grape, guava, scooter → Answer: scooter
39. blue, purple, car, yellow → Answer: car
40. hexagon, star, triangle, cow → Answer: cow
41. book, pen, notebook, pear → Answer: pear
42. triangle, cow, horse, dog → Answer: triangle
43. scale, book, pink, eraser → Answer: pink
44. notebook, bear, pencil, bag → Answer: bear
45. banana, guava, papaya, scale → Answer: scale
46. papaya, banana, guava, airplane → Answer: airplane
47. bear, zebra, giraffe, hexagon → Answer: hexagon
48. ship, banana, guava, apple → Answer: ship
49. star, triangle, blue, hexagon → Answer: blue
50. banana, white, guava, apple → Answer: white
51. triangle, orange, guava, apple → Answer: triangle
52. horse, book, scale, sharpener → Answer: horse
53. eraser, van, chalk, notebook → Answer: van
54. mango, truck, grape, pear → Answer: truck
55. pen, mango, apple, banana → Answer: pen
56. giraffe, lion, zebra, green → Answer: green
57. blue, rectangle, circle, hexagon → Answer: blue
58. chalk, cow, deer, lion → Answer: chalk
59. pen, oval, pencil, sharpener → Answer: oval
60. airplane, green, black, blue → Answer: airplane
61. red, purple, bus, pink → Answer: bus
62. apple, banana, mango, black → Answer: black
63. red, airplane, van, bike → Answer: red
64. green, pink, yellow, cow → Answer: cow
65. oval, square, sharpener, hexagon → Answer: sharpener
66. car, scooter, black, airplane → Answer: black
67. white, banana, pear, guava → Answer: white
68. banana, apple, bike, papaya → Answer: bike
69. papaya, apple, monkey, mango → Answer: monkey
70. white, green, purple, pen → Answer: pen
71. triangle, bag, oval, hexagon → Answer: bag
72. bear, deer, tiger, grape → Answer: grape
73. apple, pen, papaya, orange → Answer: pen
74. chalk, scale, star, eraser → Answer: star
75. zebra, dog, bag, bear → Answer: bag
76. mango, orange, van, banana → Answer: van
77. zebra, elephant, bear, orange → Answer: orange
78. blue, white, horse, red → Answer: horse
79. grape, white, red, black → Answer: grape
80. lion, black, white, green → Answer: lion
81. bag, mango, sharpener, eraser → Answer: mango
82. truck, goat, train, ship → Answer: goat
83. apple, book, papaya, guava → Answer: book
84. oval, star, train, square → Answer: train
85. pen, rectangle, eraser, scale → Answer: rectangle
86. pink, apple, green, blue → Answer: apple
87. yellow, deer, tiger, elephant → Answer: yellow
88. sharpener, book, chalk, circle → Answer: circle
89. dog, bear, tiger, van → Answer: van
